Kolom 1,Kolom 2,Kolom 3,Kolom 4,Kolom 5,Kolom 6
id_sumber_gaji,,"numeric(2,0)",1,"Primary Key, kosongkan ketika mode Tambah",
id_wil,,character(8),1,"Primary Key, kosongkan ketika mode Tambah",
jk,,character(1),1,"L: Laki-laki, P: Perempuan, *: Belum ada informasi",
jln,,character varying(80),,Jalan,
jml_sekolah_binaan,,smallint,,,
kewarganegaraan,,character(2),1,Web Service: GetRecordset:negara,
kode_pos,,character(5),,,
mampu_handle_kk,,integer,1,,
nidn,,character(10),,,
nik,,character(16),1,"Nomor Induk Kependudukan, wajib di isi",
nip,,character varying(18),,,
nip_suami_istri,,character(18),,,
nira,,character(30),,,
niy_nigk,,character varying(30),,,
nm_dsn,,character varying(60),,Nama Dusun,
nm_ibu_kandung,,character varying(100),1,,
nm_sdm,,character varying(100),1,,
nm_suami_istri,,character varying(100),,,
nm_wp,,character varying(100),,,
no_hp,,character varying(20),,,
no_tel_rmh,,character varying(20),,,
npwp,,character(15),,Nomor Pokok Wajib Pajak,
nsdmi,,character(12),,,
nuptk,,character(16),,,
rt,,"numeric(2,0)",,,
rw,,"numeric(2,0)",,,
sk_angkat,,character varying(80),,,
sk_cpns,,character varying(80),,,
stat_data,,integer,,,
stat_kawin,,"numeric(1,0)",1,"0: Belum Menikah, 1: Sudah Menikah",
tgl_lahir,,date,1,yyyy-mm-dd,
tgl_sk_cpns,,date,,yyyy-mm-dd,
tmpt_lahir,,character varying(32),1,,
tmt_pns,,date,,yyyy-mm-dd,
tmt_sk_angkat,,date,,yyyy-mm-dd,
Terdapat 52 baris,,,,,
Deskripsi Tabel dosen_pt,,,,,
column_name,pk,type,not_null,desc,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
id_ikatan_kerja,,character(1),1,"Primary Key, kosongkan ketika mode Tambah",
id_jns_keluar,,character(1),,Web Service: GetRecordset:jenis_keluar,
id_sdm,,uuid,1,,
id_reg_ptk,1,uuid,1,"Primary Key, kosongkan ketika mode Tambah",
id_sms,,uuid,,ID SMS (Satuan Manajemen Sumberdaya). Web Service: GetRecordset:sms,
id_sp,,uuid,1,ID Perguruan Tinggi. Web Service: GetRecordset:satuan_pendidikan,
,,,,,
id_stat_pegawai,,smallint,1,"Primary Key, kosongkan ketika mode Tambah",
no_srt_tgs,,character varying(80),1,,
tgl_create,,timestamp without time zone,1,,
tgl_ptk_keluar,,date,,yyyy-mm-dd,
tgl_srt_tgs,,date,1,yyyy-mm-dd,
tmt_srt_tgs,,date,1,yyyy-mm-dd,
Terdapat 12 baris,,,,,
Deskripsi Tabel dosen_pembimbing,,,,,
column_name,pk,type,not_null,desc,
id_sdm,1,uuid,1,ID Dosen. Web Service: GetRecordset:dosen,
id_reg_pd,1,uuid,1,ID Mahasiswa PT. Web Service: GetRecordset:mahasiswa_pt,
urutan_promotor,,"numeric(1,0)",1,,
Terdapat 3 baris,,,,,
Deskripsi Tabel kelas_kuliah,,,,,
column_name,pk,type,not_null,desc,
a_pengguna_pditt,,"numeric(1,0)",1,,
a_selenggara_pditt,,"numeric(1,0)",1,,
bahasan_case,,character varying(200),,,
id_kls,1,uuid,1,"Primary Key, kosongkan ketika mode Tambah",
id_kls_pditt,,uuid,,,
id_mk,,uuid,1,ID Mata Kuliah. Web Service: GetRecordset:mata_kuliah,
id_mou,,uuid,,ID Mou. Web Service: GetRecordset:mou,
id_sms,,uuid,1,ID SMS (Satuan Manajemen Sumberdaya). Web Service: GetRecordset:sms,
id_smt,,character(5),1,ID Semester. Web Service: GetRecordset:semester,
kuota_pditt,,"numeric(4,0)",1,,
nm_kls,,character varying(5),1,,
sks_mk,,"numeric(5,2)",,,
sks_prak,,"numeric(5,2)",,,
sks_prak_lap,,"numeric(5,2)",,,
sks_sim,,"numeric(5,2)",,,
sks_tm,,"numeric(5,2)",,,
tgl_mulai_koas,,date,,yyyy-mm-dd,
tgl_selesai_koas,,date,,yyyy-mm-dd,
Terdapat 18 baris,,,,,
Deskripsi Tabel kuliah_mahasiswa,,,,,
column_name,pk,type,not_null,desc,
id_reg_pd,1,uuid,1,Web Service: GetRecordset:mahasiswa_pt,
id_smt,1,character(5),1,ID Semester. Web Service: GetRecordset:semester,
id_stat_mhs,,character(1),1,Web Service: GetRecordset:status_mahasiswa,
ipk,,double precision,,Indeks Prestasi Kumulatif,
ips,,double precision,,,
sks_smt,,"numeric(3,0)",,,
sks_total,,"numeric(3,0)",,,
Terdapat 7 baris,,,,,
Deskripsi Tabel kurikulum,,,,,
column_name,pk,type,not_null,desc,
id_jenj_didik,,"numeric(2,0)",1,ID jenjang pendidikan. Web Service: GetRecordset:jenjang_pendidikan,
id_kurikulum_sp,1,uuid,1,"Primary Key, kosongkan ketika mode Tambah",
id_sms,,uuid,1,ID SMS (Satuan Manajemen Sumberdaya). Web Service: GetRecordset:sms,
id_smt,,character(5),1,Semester mulai berlaku. Web Service: GetRecordset:semester,
jml_sem_normal,,"numeric(2,0)",1,,
jml_sks_lulus,,"numeric(3,0)",1,,
jml_sks_pilihan,,"numeric(3,0)",1,,
jml_sks_wajib,,"numeric(3,0)",1,,
nm_kurikulum_sp,,character varying(60),1,,
Terdapat 9 baris,,,,,
Deskripsi Tabel mahasiswa,,,,,
column_name,pk,type,not_null,desc,
a_terima_kps,,"numeric(1,0)",1,"0: Bukan penerima KPS, 1: Penerima KPS",
ds_kel,,character varying(60),1,,
email,,character varying(60),,,
id_agama,,smallint,1,Web Service: GetRecordset:agama,
id_alat_transport,,"numeric(2,0)",,Web Service: GetRecordset:alat_transport,
id_jenjang_pendidikan_ayah,,"numeric(2,0)",,Web Service: GetRecordset:jenjang_pendidikan,
id_jenjang_pendidikan_ibu,,"numeric(2,0)",,Web Service: GetRecordset:jenjang_pendidikan,
id_jenjang_pendidikan_wali,,"numeric(2,0)",,Web Service: GetRecordset:jenjang_pendidikan,
id_jns_tinggal,,"numeric(2,0)",,Web Service: GetRecordset:jenis_tinggal,
id_kebutuhan_khusus_ayah,,integer,1,Default 0,
id_kebutuhan_khusus_ibu,,integer,1,Default 0,
id_kk,,integer,1,Default 0,
id_pd,1,uuid,1,"Primary Key, kosongkan ketika mode Tambah",
id_pekerjaan_ayah,,integer,,Web Service: GetRecordset:pekerjaan,
id_pekerjaan_ibu,,integer,,Web Service: GetRecordset:pekerjaan,
id_pekerjaan_wali,,integer,,Web Service: GetRecordset:pekerjaan,
id_penghasilan_ayah,,integer,,Web Service: GetRecordset:penghasilan,
id_penghasilan_ibu,,integer,,Web Service: GetRecordset:penghasilan,
id_penghasilan_wali,,integer,,Web Service: GetRecordset:penghasilan,
,,,,,
